CardNumber,ParcelID,StreetNumber,StreetName,NumofUnits,NumofRooms,NumofBedrooms,ExtType,YearBlt,CurrentBuildingValue,CurrentYardItems,CurrentLandValue,CurrentAcres,FinishedArea,GrossArea,CurrentTotal,SaleDate,SalePrice,LegalReference,Amount,Location 1
1,140-72-2943-000,25,BERRY ST,1,6,3,COLONIAL,1924,123300,10600,103200,0.132,1248,2664,237100,10/30/2008,252500,51847-272,1625,"25 BERRY ST
FRAMINGHAM, MA
(42.268602, -71.421851)"
1,140-73-4556-000,71,CYPRESS ST,NULL,NULL,NULL,NULL,NULL,0,0,1800,0.13774,0,0,1800,01/29/2014,575,63225-38,,"71 CYPRESS ST
FRAMINGHAM, MA
(42.270579, -71.421409)"
1,140-72-3871-000,34,BERRY ST,1,7,3,COLONIAL,1949,144700,7500,103000,0.12626,1574,2499,255200,10/03/1994,131900,24902-228,21000,"34 BERRY ST
FRAMINGHAM, MA
(42.268381, -71.421899)"
1,140-72-6967-000,30,GILBERT ST,1,8,3,OLD STYLE,1892,151000,8400,103300,0.1374,1875,4066,262700,10/28/2011,184900,57739-510,5600,"30 GILBERT ST
FRAMINGHAM, MA
(42.268825, -71.420829)"
1,140-72-1189-000,40,NIPMUC RD,1,6,2,OLD STYLE,1907,130500,6800,104000,0.17397,1320,2844,241300,08/31/2004,360000,43625-300,20000,"40 NIPMUC RD
FRAMINGHAM, MA
(42.266831, -71.422205)"
1,122-29-6837-000,109,HOWE ST,1,6,4,CAPE,1961,155800,800,122700,0.39291,1797,3150,279300,07/03/2014,100,63872-107,,"109 HOWE ST
FRAMINGHAM, MA
(42.287978, -71.402086)"
1,133-34-9479-000,12,BENSON AVE,2,9,4,MULTI-FAM,1914,158200,0,104800,0.22039,1995,3372,263000,05/17/1995,0,25346-236,4100,"12 BENSON AVE
FRAMINGHAM, MA
(42.273105, -71.434211)"
2,135-04-4200-000,25,HERBERT ST,3,14,6,CONVENT`NL,1897,277200,1200,111400,0.56336,3932,7456,389800,03/09/2009,1,52365-247,,"25 HERBERT ST
FRAMINGHAM, MA
(42.271801, -71.410333)"
6,141-03-0485-000,82,HERBERT ST,0,NULL,NULL,WAREHOUSE,1925,710400,60500,568400,2.60992,42809,42809,1339300,01/01/1900,1,16057-0545,,"82 HERBERT ST
FRAMINGHAM, MA
(42.271055, -71.411642)"
1,133-35-4277-000,196,FOUNTAIN ST,0,NULL,NULL,WAREHOUSE,1960,846800,43800,312700,1.37741,24184,24184,1203300,10/11/2002,1250000,36688-151,55811,"196 FOUNTAIN ST
FRAMINGHAM, MA
(42.275438, -71.436085)"
10,141-03-0485-000,82,HERBERT ST,0,NULL,NULL,REPAIR GAR,1925,710400,60500,568400,2.60992,42809,42809,1339300,01/01/1900,1,16057-0545,,"82 HERBERT ST
FRAMINGHAM, MA
(42.271055, -71.411642)"
1,140-72-8172-000,422,HOLLIS ST,1,7,4,CONVENT`NL,1917,128400,0,102600,0.10101,1472,2508,231000,04/01/1988,1,19004-0529,2520,"422 HOLLIS ST
FRAMINGHAM, MA
(42.266489, -71.420081)"
1,134-54-1362-000,765,WAVERLEY ST,0,NULL,NULL,INDUSTRIAL,1957,90600,18200,139400,0.4,3912,3912,248200,01/01/1900,1,00985-0030,2019,"765 WAVERLEY ST
FRAMINGHAM, MA
(42.272218, -71.429856)"
1,141-83-1336-000,12,HAVEN ST,1,6,2,CONVENT`NL,1902,110300,3100,102600,0.10404,1161,2174,216000,08/26/1992,1,22328-039,,"12 HAVEN ST
FRAMINGHAM, MA
(42.269652, -71.418846)"
1,134-74-0159-000,117,CEDAR ST,NULL,NULL,NULL,NULL,NULL,0,0,606900,5.06625,0,0,606900,11/30/1971,1,12118-233,,"117 CEDAR ST
FRAMINGHAM, MA
(42.272746, -71.421605)"
1,133-44-9226-000,776,WAVERLEY ST,0,NULL,NULL,OFFICE,1932,177400,0,142300,0.207,1915,3140,319700,01/27/2006,360000,46886-440,5700,"776 WAVERLEY ST
FRAMINGHAM, MA
(42.272559, -71.430532)"
1,140-72-9538-000,386,HOLLIS ST,0,NULL,NULL,REPAIR GAR,1930,105900,23400,116000,0.14001,1798,3596,245300,02/23/1996,82000,26069-071,2000,"386 HOLLIS ST
FRAMINGHAM, MA
(42.267741, -71.419818)"
1,135-95-8106-000,11,EAST ST,2,10,4,MULTI-FAM,1915,136700,0,106700,0.31818,2206,3963,243400,01/05/2016,1,66631-566,200,"11 EAST ST
FRAMINGHAM, MA
(42.275019, -71.412714)"
1,145-61-3926-000,22,LAKE AVE,1,8,4,CONVENT`NL,1979,207400,1800,104800,0.21609,1984,4097,314000,05/07/1992,100,22014-192,35000,"22 LAKE AVE
FRAMINGHAM, MA
(42.26625, -71.425554)"
1,141-83-3287-000,195,ARLINGTON ST,1,6,3,CONVENT`NL,1907,132700,7500,103200,0.13338,1597.5,2605,243400,10/30/1996,112000,26786-0171,3700,"195 ARLINGTON ST
FRAMINGHAM, MA
(42.269628, -71.417608)"
1,135-94-6305-000,46,ALEXANDER ST,4,16,6,4-8 FAMILY,1917,249300,0,99300,0.22957,3814,6312,348600,07/22/2010,202500,55028-421,1000,"46 ALEXANDER ST
FRAMINGHAM, MA
(42.272684, -71.41369)"
1,119-29-1559-000,31,EDEN RD,1,6,3,RANCH,1957,105400,0,134800,0.22948,1080,1476,240200,03/11/1997,10,207718,,"31 EDEN RD
FRAMINGHAM, MA
(42.287065, -71.44072)"
1,140-62-0609-001,14,COVE AVE,1,6,3,CONDEX,1968,179400,0,0,0,1104,1728,179400,03/01/2010,167500,54347-565,2150,"14 COVE AVE
FRAMINGHAM, MA
(42.268128, -71.427069)"
1,116-58-0117-000,,GASLIGHT LN,NULL,NULL,NULL,NULL,NULL,0,0,1400,0.10608,0,0,1400,03/01/1987,1,17922-291,,"NULL
FRAMINGHAM, MA"
2,134-54-5118-000,726,WAVERLEY ST,3,10,4,OT MFAM,1902,230800,2300,105400,0.2511,2558,4621,338500,02/01/2016,345000,66751-212,,"726 WAVERLEY ST
FRAMINGHAM, MA
(42.272372, -71.428634)"
1,134-64-1326-000,36,BRIDGES ST,4,8,4,4-8 FAMILY,1917,151600,0,96100,0.0551,1824,3024,247700,08/28/2014,280000,64147-570,27000,"36 BRIDGES ST
FRAMINGHAM, MA
(42.272625, -71.426486)"
1,134-64-2172-000,27,COBURN ST,1,7,2,OLD STYLE,1875,189200,0,102900,0.1169,2006,3017,292100,04/21/2016,260000,67125-3,127000,"27 COBURN ST
FRAMINGHAM, MA
(42.271746, -71.425697)"
1,139-43-8951-000,10,CONANT RD,2,8,5,MULTI-FAM,1925,194700,1700,104800,0.21614,2325,4056,301200,10/10/2014,350000,64353-343,18000,"10 CONANT RD
FRAMINGHAM, MA
(42.271493, -71.430797)"
1,113-20-5142-000,102,HOWE ST,1,5,3,CAPE,1988,238900,2900,118500,0.18462,2031,2431,360300,05/01/1988,0,19077-398,2500,"102 HOWE ST
FRAMINGHAM, MA
(42.28817, -71.402611)"
2,133-44-7403-000,800,WAVERLEY ST,4,5,2,GAMBREL,1922,332800,0,103900,0.17245,4464,6891,436700,05/18/1993,40500,23198-0295,,"800 WAVERLEY ST
FRAMINGHAM, MA
(42.273014, -71.431424)"
1,133-44-0682-000,9,BENSON AVE,1,5,2,COTTAGE,1917,129100,0,102500,0.09947,803,2600,231600,04/27/2007,280500,49361-129,9500,"9 BENSON AVE
FRAMINGHAM, MA
(42.273127, -71.43377)"
1,134-64-7867-000,618,WAVERLEY ST,NULL,NULL,NULL,NULL,NULL,0,0,128300,1.657,0,0,128300,10/15/2015,1,2015-819,,"618 WAVERLEY ST
FRAMINGHAM, MA
(42.274602, -71.424032)"
1,122-29-8982-000,126,HOWE ST,NULL,NULL,NULL,NULL,NULL,0,0,500,0.04197,0,0,500,06/29/2007,1,49700-449,,"126 HOWE ST
FRAMINGHAM, MA
(42.287697, -71.401289)"
1,134-54-8452-000,4,BETHANY RD,2,8,4,MULTI-FAM,1917,135800,0,103100,0.1292,1696,3054,238900,10/30/2013,265000,62861-321,7200,"4 BETHANY RD
FRAMINGHAM, MA
(42.272797, -71.427453)"
1,140-72-3889-000,20,BERRY ST,1,6,3,CAPE,1952,201400,0,105500,0.25253,2040,4576,306900,12/26/2012,265900,60818-106,,"20 BERRY ST
FRAMINGHAM, MA
(42.268586, -71.421854)"
1,118-19-7592-000,6,LOUIS RD,1,6,3,RANCH,1957,115500,1100,134800,0.22899,1386,1716,251400,06/01/1983,69500,01003-0130,5700,"6 LOUIS RD
FRAMINGHAM, MA
(42.286562, -71.442242)"
1,140-62-0816-000,8,COVE AVE,1,4,2,RANCH,1950,146200,0,103900,0.17218,1036,2427,250100,12/01/1989,170000,20241-389,,"8 COVE AVE
FRAMINGHAM, MA
(42.268546, -71.426904)"
1,135-95-9397-000,32,EAST ST,1,6,3,CONVENT`NL,1927,119100,900,103100,0.13113,1398.25,2667,223100,05/15/2015,220000,65383-156,400,"32 EAST ST
FRAMINGHAM, MA
(42.275172, -71.411888)"
1,133-34-3744-000,22,FAY RD RR,1,4,2,RANCH,1922,106000,1000,103000,0.12309,1113,1113,210000,09/01/2009,100000,53482-243,5000,"22 FAY RD RR
FRAMINGHAM, MA
(42.273409, -71.436915)"
1,140-73-4854-000,127,CEDAR ST,1,6,2,RANCH,1955,161800,0,103000,0.12635,1154,2488,264800,04/01/1982,34000,14579-016,,"127 CEDAR ST
FRAMINGHAM, MA
(42.271224, -71.421064)"
1,133-44-2423-000,3,WEYBOSSETT AVE,2,8,3,OT MFAM,1946,154300,1300,103400,0.14644,1162,2324,259000,08/15/2013,250000,62459-169,4550,"3 WEYBOSSETT AVE
FRAMINGHAM, MA
(42.272614, -71.433269)"
1,135-95-7536-000,39,TAYLOR ST,0,NULL,NULL,REPAIR GAR,1957,204000,29300,153500,0.50799,5040,5040,386800,03/25/2013,1,61466-541,,"39 TAYLOR ST
FRAMINGHAM, MA
(42.275898, -71.413175)"
1,140-62-9857-000,23,WOOD AVE,1,9,5,OLD STYLE,1892,144200,5400,102800,0.11478,1767,3032,252400,05/01/2009,230000,243951,2847,"23 WOOD AVE
FRAMINGHAM, MA
(42.268412, -71.422904)"
1,134-64-4384-000,47,MELLEN ST,0,NULL,NULL,INDUSTRIAL,1917,1420700,37100,290900,1.33551,56488,56488,1748700,05/17/1996,615000,26324-261,2250,"47 MELLEN ST
FRAMINGHAM, MA
(42.272472, -71.424531)"
1,140-62-4771-000,8,DOW ST,NULL,NULL,NULL,NULL,NULL,0,0,5100,0.39096,0,0,5100,01/18/2012,1,58308-438,,"8 DOW ST
FRAMINGHAM, MA
(42.268159, -71.425215)"
1,134-54-4114-000,734,WAVERLEY ST,2,8,4,MULTI-TNHS,1917,158300,0,102300,0.08698,2240,3675,260600,03/13/2001,0,32485-326,7000,"734 WAVERLEY ST
FRAMINGHAM, MA
(42.272194, -71.429069)"
1,122-29-4967-000,101,HOWE ST,1,5,2,COLONIAL,1948,99400,0,118800,0.19972,1008,1840,218200,05/31/2011,105000,56926-161,16000,"101 HOWE ST
FRAMINGHAM, MA
(42.288207, -71.402713)"
1,134-64-1678-000,660,WAVERLEY ST,4,16,8,MIXED USE,1900,198300,0,110000,0.09832,3862,6720,308300,08/07/2015,400000,65880-101,,"660 WAVERLEY ST
FRAMINGHAM, MA
(42.273647, -71.426175)"
1,140-62-0933-000,6,COVE AVE,1,4,2,CAPE,1952,134900,0,103900,0.17218,1275,2550,238800,06/01/1986,0,17070-580,,"6 COVE AVE
FRAMINGHAM, MA
(42.268747, -71.426825)"
1,140-62-9734-000,37,WOOD AVE,1,10,3,GAMBREL,1917,189500,9600,105500,0.25636,2196,3726,304600,05/11/2016,341250,1489-61,20000,"37 WOOD AVE
FRAMINGHAM, MA
(42.268066, -71.42298)"
1,128-96-8156-000,324,WAVERLEY ST,0,NULL,NULL,SERVICE ST,1947,138200,31600,130800,0.243,2449,2449,300600,01/30/2003,1,37841-175,4200,"324 WAVERLEY ST
FRAMINGHAM, MA
(42.27772, -71.412494)"
1,140-63-6570-000,120,MELLEN ST,1,7,2,BUNGALOW,1914,161800,7100,105000,0.22957,1674,3558,273900,09/17/2008,215000,51690-389,2797,"120 MELLEN ST
FRAMINGHAM, MA
(42.270258, -71.424498)"
1,140-73-1239-000,67,WINTHROP ST,6,26,10,4-8 FAMILY,1892,449600,13100,102600,0.41322,5918,11486,565300,02/27/2006,600000,47025-118,14000,"67 WINTHROP ST
FRAMINGHAM, MA
(42.269381, -71.422453)"
1,140-72-0424-000,49,NIPMUC RD,1,4,2,RANCH,1979,133000,11300,103600,0.15452,816,1672,247900,07/18/2012,10,59545-231,2000,"49 NIPMUC RD
FRAMINGHAM, MA
(42.267094, -71.422987)"
1,140-62-1828-000,9,WINTHROP TERR,2,10,6,MULTI-FAM,1955,178400,0,103900,0.17179,2334.5,4086,282300,02/17/2006,100,46983-15,26000,"9 WINTHROP TERR
FRAMINGHAM, MA
(42.26841, -71.426026)"
1,140-62-5771-000,7,NIPMUC TERR,1,6,2,OLD STYLE,1932,83200,0,109200,0.44823,1232,2052,192400,12/01/2004,100,44217-136,11795,"7 NIPMUC TERR
FRAMINGHAM, MA
(42.267923, -71.424385)"
1,136-15-0788-000,61,BEAVER ST,2,10,4,MULTI-TNHS,1927,140900,0,102800,0.11465,2158,3491,243700,10/16/2015,225000,66239-193,,"61 BEAVER ST
FRAMINGHAM, MA
(42.276665, -71.407823)"
1,140-62-3855-000,15,DOW ST,2,10,4,MULTI-TNHS,1960,158000,0,104300,0.19339,1568,3964,262300,05/02/2000,1,31370-227,5000,"15 DOW ST
FRAMINGHAM, MA
(42.268324, -71.42515)"
1,135-95-9158-000,25,EAST ST,1,6,3,CONVENT`NL,1917,107700,0,103600,0.15519,1188,2721,211300,01/17/1963,1,10202-0431,2400,"25 EAST ST
FRAMINGHAM, MA
(42.275119, -71.41217)"
1,140-72-6082-000,425,HOLLIS ST,1,8,4,OLD STYLE,1942,124800,0,103900,0.17291,1092,2016,228700,11/01/1995,99000,25786-008,5000,"425 HOLLIS ST
FRAMINGHAM, MA
(42.266094, -71.420161)"
1,029-37-8986-000,13,LARNIS RD,1,7,3,RANCH,1969,187300,1100,160300,0.46671,1576,2384,348700,01/28/2008,100,50639-253,5500,"13 LARNIS RD
FRAMINGHAM, MA
(42.33698, -71.397366)"
1,118-19-9671-000,11,ROBERT RD,1,6,2,RANCH,1957,116900,1800,134700,0.22176,1320,1716,253400,05/03/2000,100,218148,22000,"11 ROBERT RD
FRAMINGHAM, MA
(42.287198, -71.441581)"
1,133-34-4843-000,904,WAVERLEY ST,0,NULL,NULL,STORE,1988,0,32700,140300,0.309,0,0,173000,04/24/2012,100,58950-309,3000,"904 WAVERLEY ST
FRAMINGHAM, MA
(42.274106, -71.436115)"
1,141-82-0293-000,9,THAYER ST,1,5,2,BUNGALOW,1907,105100,0,103800,0.16786,860,1840,208900,01/08/2014,100,63158-189,,"9 THAYER ST
FRAMINGHAM, MA
(42.266693, -71.418751)"
1,118-19-8681-000,9,ROBERT RD,1,7,5,GARRISON,1957,240000,0,134700,0.22176,2250,2838,374700,02/12/2016,100,1485-106,50000,"9 ROBERT RD
FRAMINGHAM, MA
(42.287213, -71.441919)"
1,134-64-6189-000,70,MELLEN ST,1,6,2,COTTAGE,1910,118800,0,104000,0.1736,1154,3226,222800,08/31/2001,1,33563-556,,"70 MELLEN ST
FRAMINGHAM, MA
(42.272127, -71.424548)"
1,134-64-3322-000,20,HILTON ST,4,20,4,4-8 FAMILY,1902,195500,0,98000,0.15751,3580,6134,293500,05/04/1973,1,12426-0254,,"20 HILTON ST
FRAMINGHAM, MA
(42.272318, -71.425526)"
1,140-72-3274-000,25,NIPMUC RD,1,6,3,CAPE,1922,140700,4900,103200,0.1326,1092,2128,248800,01/03/2006,100,46765-299,,"25 NIPMUC RD
FRAMINGHAM, MA
(42.26658, -71.421742)"
1,140-62-5526-000,11,NIPMUC TERR,2,10,6,MULTI-TNHS,1998,386200,0,105000,0.22957,2668,2668,491200,01/30/2015,450000,64861-136,128800,"11 NIPMUC TERR
FRAMINGHAM, MA
(42.267559, -71.424525)"
2,140-62-3366-000,44,DOW ST,2,4,1,COTTAGE,1917,209200,9500,105000,0.22909,2019,3996,323700,09/03/2004,399900,43658-24,,"44 DOW ST
FRAMINGHAM, MA
(42.267174, -71.425586)"
1,133-44-2236-000,29,DAYTONA AVE,0,NULL,NULL,FRAT/SOR,1938,83200,6700,162200,0.3295,3246,3436,252100,04/18/1938,1,06199-0505,6500,"29 DAYTONA AVE
FRAMINGHAM, MA
(42.272314, -71.433014)"
1,118-19-7716-000,4,ROBERT RD,1,5,3,RANCH,1957,112300,0,135900,0.27801,1056,1496,248200,11/29/2005,347000,235563,2000,"4 ROBERT RD
FRAMINGHAM, MA
(42.287241, -71.442549)"
1,140-72-7119-000,417,HOLLIS ST,1,8,3,OLD STYLE,1917,149800,5900,105100,0.23607,1460,2328,260800,02/25/2005,278000,44698-339,,"417 HOLLIS ST
FRAMINGHAM, MA
(42.266556, -71.420067)"
1,140-62-0652-000,21,WINTHROP TERR,4,16,6,4-8 FAMILY,1931,213400,0,98500,0.18365,2988,3498,311900,05/21/2002,1,35505-566,,"21 WINTHROP TERR
FRAMINGHAM, MA
(42.267943, -71.426217)"
1,122-29-7804-002,111,HOWE ST,1,6,3,CONDEX,1986,205400,0,0,0,1116,1740,205400,12/23/2003,100,41673-493,,"111 HOWE ST
FRAMINGHAM, MA
(42.287879, -71.401814)"
1,134-54-8241-000,16,BETHANY RD,3,10,4,MULTI-FAM,1887,167200,8200,104400,0.19858,2020,3215,279800,04/27/2011,150000,56780-80,6000,"16 BETHANY RD
FRAMINGHAM, MA
(42.272237, -71.427568)"
1,140-73-4319-000,45,WINTHROP ST,9,9,9,APRTMNT-GN,1892,286800,6400,99500,0.24105,3334,6417,392700,11/30/2015,100,66444-559,6000,"45 WINTHROP ST
FRAMINGHAM, MA
(42.269671, -71.421431)"
1,134-54-0166-000,762,WAVERLEY ST,2,8,3,MULTI-FAM,1897,213600,900,103100,0.12723,1248,2568,317600,09/25/2013,260000,62868-306,2300,"762 WAVERLEY ST
FRAMINGHAM, MA
(42.272291, -71.43004)"
1,141-03-7895-000,10,LORING DR,0,NULL,NULL,FIRE STAT,1994,3772600,0,793400,1.29997,29135,29135,4566000,01/01/1900,,1,366563,"10 LORING DR
FRAMINGHAM, MA
(42.271268, -71.40953)"
1,140-63-6351-002,128,MELLEN ST,1,5,3,CONDEX,1972,179700,0,0,0,1110,1690,179700,07/14/2004,292900,43287-71,,"128 MELLEN ST
FRAMINGHAM, MA
(42.269826, -71.424558)"
1,139-43-1864-000,10,DESOTO AVE,1,6,3,CAPE,1937,114000,700,104200,0.18455,1087.5,2225,218900,10/19/2012,209900,60290-247,,"10 DESOTO AVE
FRAMINGHAM, MA
(42.271392, -71.433364)"
1,135-04-4389-000,263,IRVING ST,1,7,4,CONVENT`NL,1907,108900,4300,102300,0.08776,1608,2716,215500,11/09/2005,300000,46453-265,10200,"263 IRVING ST
FRAMINGHAM, MA
(42.272842, -71.410035)"
2,142-13-4490-000,364,IRVING ST,2,7,3,OLD STYLE,1935,600,0,525200,1.38016,0,0,525800,10/25/1918,1,1875-159,,"364 IRVING ST
FRAMINGHAM, MA
(42.269622, -71.406761)"
1,145-71-6529-000,461,HOLLIS ST,0,NULL,NULL,REPAIR GAR,1947,64702.902800000003,56975.645299999996,136102.76209999999,0.304,2698,2698,257781.31020000001,09/20/2010,100,55403-218,,"461 HOLLIS ST
FRAMINGHAM, MA
(42.26494, -71.420397)"
1,134-64-7003-000,80,MELLEN ST,1,6,3,CAPE,1990,204300,0,106100,0.28336,1666,2956,310400,04/09/2001,235000,32651-472,5586,"80 MELLEN ST
FRAMINGHAM, MA
(42.271565, -71.424418)"
1,134-64-2252-000,17,HILTON ST,2,6,2,MULTI-FAM,1907,114100,0,102000,0.07346,1159,1754,216100,07/27/1994,100,24733-0054,,"17 HILTON ST
FRAMINGHAM, MA
(42.272332, -71.425763)"
1,133-24-7140-000,28,PERSHING AVE,1,7,3,CAPE,1953,173200,0,104600,0.20551,1666,3396,277800,10/11/2000,0,31912-190,6600,"28 PERSHING AVE
FRAMINGHAM, MA
(42.2717, -71.43891)"
1,140-72-8816-000,361,HOLLIS ST,2,9,3,MULTI-FAM,1951,134500,0,104200,0.18411,1529,3094,238700,10/12/2004,329900,43875-245,,"361 HOLLIS ST
FRAMINGHAM, MA
(42.268584, -71.419638)"
1,113-20-5374-000,83,C ST,1,6,3,RANCH,1956,119600,0,117900,0.15523,1052,2363,237500,06/12/1978,1,13460-468,,"83 C ST
FRAMINGHAM, MA
(42.289121, -71.402333)"
1,113-20-7623-000,367,BISHOP ST,4,10,4,OT MFAM,1867,204100,0,118800,0.19993,2892,5328,322900,09/02/1997,180000,27636-360,5900,"367 BISHOP ST
FRAMINGHAM, MA
(42.289943, -71.402116)"
1,134-64-3122-000,23,COBURN ST,2,9,3,MULTI-FAM,1926,171600,0,102600,0.10537,2208,3639,274200,08/29/1996,155000,26623-015,20000,"23 COBURN ST
FRAMINGHAM, MA
(42.271736, -71.425527)"
1,133-44-5067-000,29,WILDE AVE,1,6,3,SPLIT LEVL,1984,198000,0,103300,0.13992,1136,2347,301300,04/04/2016,10,67038-119,8544,"29 WILDE AVE
FRAMINGHAM, MA
(42.271784, -71.431787)"
1,140-72-5263-000,92,GILBERT ST,1,6,3,OLD STYLE,1917,119300,6100,103900,0.1728,1440,2292,229300,08/10/2016,345000,67782-388,29000,"92 GILBERT ST
FRAMINGHAM, MA
(42.266796, -71.421254)"
1,140-62-2651-000,31,DOW ST,1,6,3,OLD STYLE,1928,133500,0,109400,0.45914,1512,3233,242900,06/10/2010,279000,54807-19,3400,"31 DOW ST
FRAMINGHAM, MA
(42.267646, -71.425409)"
1,140-72-7782-000,373,HOLLIS ST,3,14,8,OT MFAM,1897,216700,13600,105400,0.24881,3178.5,5114,335700,09/04/2007,372000,50055-238,,"373 HOLLIS ST
FRAMINGHAM, MA
(42.268035, -71.419755)"
1,141-03-0868-000,53,HERBERT ST,1,6,3,BUNGALOW,1927,109600,0,103600,0.15289,984,2128,213200,08/01/1988,100000,01048-0043,,"53 HERBERT ST
FRAMINGHAM, MA
(42.271085, -71.411592)"
1,140-72-9421-000,400,HOLLIS ST,3,18,9,MULTI-FAM,1920,246300,0,103800,0.16529,3915,5910,350100,09/13/2004,470000,43698-107,13500,"400 HOLLIS ST
FRAMINGHAM, MA
(42.267291, -71.419911)"
1,122-29-7654-000,100,WILSON ST,1,6,3,RANCH,1960,78100,0,121400,0.32541,988,1976,199500,10/01/1992,95000,22455-499,6900,"100 WILSON ST
FRAMINGHAM, MA
(42.286771, -71.401849)"
1,064-09-3321-000,29,ANGELICA DR,1,8,3,SPLIT ENT,1968,225600,0,173700,0.48634,1676,3020,399300,09/20/1999,1,30675-302,13700,"29 ANGELICA DR
FRAMINGHAM, MA
(42.313491, -71.485009)"
8,141-03-0485-000,82,HERBERT ST,0,NULL,NULL,WAREHOUSE,1925,710400,60500,568400,2.60992,42809,42809,1339300,01/01/1900,1,16057-0545,,"82 HERBERT ST
FRAMINGHAM, MA
(42.271055, -71.411642)"
1,082-16-8628-000,5,SKYLINE DR,1,8,3,SPLIT LEVL,1966,142500,0,153000,0.1871,1152,2376,295500,07/21/2016,230000,67660-396,,"5 SKYLINE DR
FRAMINGHAM, MA
(42.306188, -71.405341)"
1,133-34-3644-000,38,FAY RD,1,6,3,CAPE,1945,176400,0,105000,0.22576,1764.25,3733,281400,11/08/2000,190000,31996-592,20000,"38 FAY RD
FRAMINGHAM, MA
(42.27322, -71.43679)"
1,142-13-5870-000,300,IRVING ST,0,NULL,NULL,REPAIR GAR,1958,57800,67900,513000,18.934000000000001,750,750,638700,08/15/2008,2000000,51577-320,,"300 IRVING ST
FRAMINGHAM, MA
(42.269543, -71.406692)"
1,140-72-4771-000,53,GILBERT ST,2,10,3,CONVENT`NL,1897,165100,6000,103000,0.12626,2168,3586,274100,02/10/2016,235000,66789-557,32500,"53 GILBERT ST
FRAMINGHAM, MA
(42.267996, -71.421011)"
2,128-06-6305-000,242,WAVERLEY ST,0,NULL,NULL,REPAIR GAR,1983,14689.44,6426.63,75385.39,0.096,0,0,96501.46,11/24/1999,235000,30896-224,,"242 WAVERLEY ST
FRAMINGHAM, MA
(42.278263, -71.409746)"
1,113-20-4013-000,317,BISHOP ST,1,6,3,CONVENT`NL,1892,128300,0,118400,0.17718,1060,2156,246700,05/18/2007,1,49468-594,2200,"317 BISHOP ST
FRAMINGHAM, MA
(42.28828, -71.403233)"
1,128-06-7041-000,33,BEAVER ST,NULL,NULL,NULL,NULL,NULL,0,0,21400,0.08912,0,0,21400,05/06/2014,975000,63577-467,,"33 BEAVER ST
FRAMINGHAM, MA
(42.277289, -71.408964)"
1,141-83-3764-000,157,ARLINGTON ST,2,9,4,MULTI-FAM,1882,156700,0,104200,0.18556,2531,4246,260900,09/13/2010,178090,55357-1,1200,"157 ARLINGTON ST
FRAMINGHAM, MA
(42.270838, -71.417713)"
1,141-83-1027-000,12,LINDSAY ST,1,6,3,CONVENT`NL,1880,113100,0,105100,0.23237,1072.75,2243,218200,09/16/2011,1,57461-509,3950,"12 LINDSAY ST
FRAMINGHAM, MA
(42.268792, -71.418903)"
1,141-83-0068-000,8,LINDSAY ST,1,8,4,CONVENT`NL,1887,127400,4600,104600,0.20645,2139,3072,236600,06/29/2005,334900,45501-361,200,"8 LINDSAY ST
FRAMINGHAM, MA
(42.268825, -71.419133)"
1,134-64-1183-000,35,COBURN ST,3,14,6,MULTI-TNHS,1926,142700,6100,102400,0.09366,2772,3960,251200,05/04/2012,100,59030-248,5000,"35 COBURN ST
FRAMINGHAM, MA
(42.271768, -71.426049)"
1,140-72-3997-000,14,BERRY ST,2,12,6,MULTI-TNHS,1971,191800,0,104100,0.18368,2484,4024,295900,08/14/2015,100,65911-557,500,"14 BERRY ST
FRAMINGHAM, MA
(42.268819, -71.421802)"
1,118-19-6593-000,4,LOUIS RD,1,6,3,RANCH,1957,121800,1100,134800,0.22711,1386,1716,257700,03/28/2006,338000,236376,,"4 LOUIS RD
FRAMINGHAM, MA
(42.286576, -71.44262)"
1,136-15-4469-000,103,BEAVER ST,1,7,4,CONVENT`NL,1927,123700,0,104800,0.21777,1402,2626,228500,05/07/2012,155500,59040-27,5000,"103 BEAVER ST
FRAMINGHAM, MA
(42.275987, -71.406409)"
1,140-72-1825-000,24,WOOD AVE,1,6,3,OLD STYLE,1892,132700,0,103200,0.132,1540,3236,235900,05/21/1987,157000,18145-0487,6880,"24 WOOD AVE
FRAMINGHAM, MA
(42.268507, -71.422882)"
1,113-20-6597-000,363,BISHOP ST,1,6,2,CONVENT`NL,1887,105700,0,118600,0.18802,1089,1892,224300,08/12/2010,115000,55157-453,,"363 BISHOP ST
FRAMINGHAM, MA
(42.289776, -71.402228)"
1,112-01-6542-000,,CONCORD ST,NULL,NULL,NULL,NULL,NULL,0,0,600200,3.44467,0,0,600200,10/13/2009,6500000,53666-500,40000,"NULL
FRAMINGHAM, MA"
1,134-54-9382-000,39,BRIDGES ST,4,18,8,4-8 FAMILY,1887,284900,2400,98000,0.15996,2987.25,4616,385300,11/30/2011,100,57976-564,8600,"39 BRIDGES ST
FRAMINGHAM, MA
(42.272429, -71.426524)"
1,141-82-0038-000,6,ANDREWS ST,1,7,4,CONVENT`NL,1917,125700,5900,102600,0.10331,1644,3404,234200,06/24/2010,214823,54879-422,13000,"6 ANDREWS ST
FRAMINGHAM, MA
(42.266123, -71.419212)"
