Candidate,Precinct,Votes,Race,Year,Election
Total Turnout,Total,4252,Cemetery Trustee,2023,General
Total Registered,1,736,Cemetery Trustee,2023,General
Total Registered,2,1217,Cemetery Trustee,2023,General
Total Registered,3,1077,Cemetery Trustee,2023,General
Total Registered,4,1118,Cemetery Trustee,2023,General
Total Registered,5,1215,Cemetery Trustee,2023,General
Total Registered,6,1981,Cemetery Trustee,2023,General
Total Registered,7,1916,Cemetery Trustee,2023,General
Total Registered,8,1346,Cemetery Trustee,2023,General
Total Registered,9A,1446,Cemetery Trustee,2023,General
Total Registered,9B,90,Cemetery Trustee,2023,General
Total Registered,10,903,Cemetery Trustee,2023,General
Total Registered,11,1495,Cemetery Trustee,2023,General
Total Registered,12,1280,Cemetery Trustee,2023,General
Total Registered,13,970,Cemetery Trustee,2023,General
Total Registered,14,1220,Cemetery Trustee,2023,General
Total Registered,15,1356,Cemetery Trustee,2023,General
Total Registered,16,1733,Cemetery Trustee,2023,General
Total Registered,17,1816,Cemetery Trustee,2023,General
Total Registered,18,2016,Cemetery Trustee,2023,General
Total Registered,19,1936,Cemetery Trustee,2023,General
Total Registered,20,1907,Cemetery Trustee,2023,General
Total Registered,21A,1358,Cemetery Trustee,2023,General
Total Registered,21B,798,Cemetery Trustee,2023,General
Total Registered,21C,46,Cemetery Trustee,2023,General
Total Registered,22,2141,Cemetery Trustee,2023,General
Total Registered,23,1901,Cemetery Trustee,2023,General
Total Registered,24,1902,Cemetery Trustee,2023,General
Total Registered,25,1977,Cemetery Trustee,2023,General
Total Registered,26,1858,Cemetery Trustee,2023,General
Total Registered,27,1741,Cemetery Trustee,2023,General
Total Registered,Total,42496,Cemetery Trustee,2023,General
Percentage,1,0.09,Cemetery Trustee,2023,General
Percentage,2,0.04,Cemetery Trustee,2023,General
Percentage,3,0.06,Cemetery Trustee,2023,General
Percentage,4,0.09,Cemetery Trustee,2023,General
Percentage,5,0.15,Cemetery Trustee,2023,General
Percentage,6,0.13,Cemetery Trustee,2023,General
Percentage,7,0.1,Cemetery Trustee,2023,General
Percentage,8,0.04,Cemetery Trustee,2023,General
Percentage,9A,0.09,Cemetery Trustee,2023,General
Percentage,9B,0.08,Cemetery Trustee,2023,General
Percentage,10,0.11,Cemetery Trustee,2023,General
Percentage,11,0.09,Cemetery Trustee,2023,General
Percentage,12,0.11,Cemetery Trustee,2023,General
Percentage,13,0.06,Cemetery Trustee,2023,General
Percentage,14,0.08,Cemetery Trustee,2023,General
Percentage,15,0.06,Cemetery Trustee,2023,General
Percentage,16,0.09,Cemetery Trustee,2023,General
Percentage,17,0.11,Cemetery Trustee,2023,General
Percentage,18,0.08,Cemetery Trustee,2023,General
Percentage,19,0.09,Cemetery Trustee,2023,General
Percentage,20,0.09,Cemetery Trustee,2023,General
Percentage,21A,0.1,Cemetery Trustee,2023,General
Percentage,21B,0.12,Cemetery Trustee,2023,General
Percentage,21C,0.07,Cemetery Trustee,2023,General
Percentage,22,0.11,Cemetery Trustee,2023,General
Percentage,23,0.1,Cemetery Trustee,2023,General
Percentage,24,0.08,Cemetery Trustee,2023,General
Percentage,25,0.16,Cemetery Trustee,2023,General
Percentage,26,0.15,Cemetery Trustee,2023,General
Percentage,27,0.16,Cemetery Trustee,2023,General
Percentage,Total,0.1001,Cemetery Trustee,2023,General
